[2019-Jul-16 02:07:31] Nemesis Behavior Version: v0.79
[2019-Jul-16 02:07:31] Current Directory: E:\C++\Project 2\Win32\Release\data\nemesis_engine
[2019-Jul-16 02:07:31] Data Directory: E:\C++\Project 2\Nemesis Main GUI\data\
[2019-Jul-16 02:07:31] Skyrim Special Edition: FALSE
[2019-Jul-16 02:07:31] Mod 1: tkuc
[2019-Jul-16 02:07:31] Mod 2: tudm
[2019-Jul-16 02:07:31] Mod 3: nemesis
[2019-Jul-16 02:07:31] Detecting processes...
[2019-Jul-16 02:07:37] Initializing file check...
[2019-Jul-16 02:07:37] File Check complete
[2019-Jul-16 02:07:37] Global reset all: TRUE
[2019-Jul-16 02:07:37] Mod Checked 1: nemesis
[2019-Jul-16 02:07:37] Mod Checked 2: tudm
[2019-Jul-16 02:07:37] Mod Checked 3: tkuc
[2019-Jul-16 02:07:38] Caching alternate animation group...
[2019-Jul-16 02:07:38] Caching alternate animation complete
[2019-Jul-16 02:07:38] Reading new animations...
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: Backstep_Fast.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: ForwardRoll_Fast.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: BackwardRoll_Fast.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: LeftRoll_Fast.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: RightRoll_Fast.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: Backstep.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: ForwardRoll.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: BackwardRoll.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: LeftRoll.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: RightRoll.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: Backstep_Fat.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: ForwardRoll_Fat.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: BackwardRoll_Fat.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: LeftRoll_Fat.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: RightRoll_Fat.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: Backstep_Fast_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: ForwardRoll_Fast_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: BackwardRoll_Fast_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: LeftRoll_Fast_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: RightRoll_Fast_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: Backstep_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: ForwardRoll_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: BackwardRoll_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: LeftRoll_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: RightRoll_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: Backstep_Fat_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: ForwardRoll_Fat_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: BackwardRoll_Fat_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: LeftRoll_Fat_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1000): Missing animation file | File: RightRoll_Fat_MAG.hkx
[2019-Jul-16 02:07:38] WARNING(1026): Invalid option | File: FNIS_bbdarksoulscombat_List.txt | Line: 121 | Option: Tn
